Name,API Name,CoreMark Score,Compute Family,FFmpeg FPS,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
M5A Extra Large,m5a.xlarge,"52,823.876",General purpose,19.0 fps,16 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,$0.172 hourly,$0.108 hourly,$0.0811 hourly,$0.356 hourly,$0.292 hourly
M5AD 12xlarge Extra Large,m5ad.12xlarge,"620,101.628",General purpose,113.0 fps,192 GiB,48 vCPUs,1800 GB (2×900 GB NVMe SSD),10 Gigabit,$2.472 hourly,$1.557 hourly,$0.9249 hourly,$4.68 hourly,$3.765 hourly
M5AD 16xlarge Extra Large,m5ad.16xlarge,"818,518.992",General purpose,113.0 fps,256 GiB,64 vCPUs,2400 GB (4×600 GB NVMe SSD),12 Gigabit,$3.296 hourly,$2.076 hourly,$0.988 hourly,$6.24 hourly,$5.02 hourly
M5AD 24xlarge,m5ad.24xlarge,"1,248,699.272",General purpose,97.0 fps,384 GiB,96 vCPUs,3600 GB (4×900 GB NVMe SSD),20 Gigabit,$4.944 hourly,$3.115 hourly,$1.5493 hourly,$9.36 hourly,$7.531 hourly
M5AD Double Extra Large,m5ad.2xlarge,"104,302.477",General purpose,37.0 fps,32 GiB,8 vCPUs,300 GB NVMe SSD,Up to 10 Gigabit,$0.412 hourly,$0.26 hourly,$0.2395 hourly,$0.78 hourly,$0.628 hourly
M5AD Quadruple Extra Large,m5ad.4xlarge,"202,429.15",General purpose,67.0 fps,64 GiB,16 vCPUs,600 GB (2×300 GB NVMe SSD),Up to 10 Gigabit,$0.824 hourly,$0.519 hourly,$0.3893 hourly,$1.56 hourly,$1.255 hourly
M5AD Eight Extra Large,m5ad.8xlarge,"386,551.238",General purpose,101.0 fps,128 GiB,32 vCPUs,1200 GB (2×600 GB NVMe SSD),Up to 10 Gigabit,$1.648 hourly,$1.038 hourly,$0.6266 hourly,$3.12 hourly,$2.51 hourly
M5AD Large,m5ad.large,"25,994.281",General purpose,9.7 fps,8 GiB,2 vCPUs,75 GB NVMe SSD,Up to 10 Gigabit,$0.103 hourly,$0.065 hourly,$0.0411 hourly,$0.195 hourly,$0.157 hourly
M5AD Extra Large,m5ad.xlarge,"52,335.47",General purpose,19.0 fps,16 GiB,4 vCPUs,150 GB NVMe SSD,Up to 10 Gigabit,$0.206 hourly,$0.13 hourly,$0.0847 hourly,$0.39 hourly,$0.314 hourly
M5 General Purpose 12xlarge Extra Large,m5d.12xlarge,"686,237.133",General purpose,157.0 fps,192 GiB,48 vCPUs,1800 GB (2×900 GB NVMe SSD),12 Gigabit,$2.712 hourly,$1.709 hourly,$0.7908 hourly,$4.92 hourly,$3.917 hourly
M5 General Purpose 16xlarge Extra Large,m5d.16xlarge,"915,070.06",General purpose,162.0 fps,256 GiB,64 vCPUs,2400 GB (4×600 GB NVMe SSD),20 Gigabit,$3.616 hourly,$2.278 hourly,$1.1988 hourly,$6.56 hourly,$5.222 hourly
M5 General Purpose 24xlarge,m5d.24xlarge,"1,386,431.744",General purpose,173.0 fps,384 GiB,96 vCPUs,3600 GB (4×900 GB NVMe SSD),25 Gigabit,$5.424 hourly,$3.417 hourly,$1.8596 hourly,$9.84 hourly,$7.833 hourly
M5 General Purpose Double Extra Large,m5d.2xlarge,"112,813.763",General purpose,40.0 fps,32 GiB,8 vCPUs,300 GB NVMe SSD,Up to 10 Gigabit,$0.452 hourly,$0.285 hourly,$0.2956 hourly,$0.82 hourly,$0.653 hourly
M5 General Purpose Quadruple Extra Large,m5d.4xlarge,"216,645.604",General purpose,77.0 fps,64 GiB,16 vCPUs,600 GB (2×300 GB NVMe SSD),Up to 10 Gigabit,$0.904 hourly,$0.57 hourly,$0.4515 hourly,$1.64 hourly,$1.306 hourly
M5 General Purpose Eight Extra Large,m5d.8xlarge,"462,940.638",General purpose,146.0 fps,128 GiB,32 vCPUs,1200 GB (2×600 GB NVMe SSD),10 Gigabit,$1.808 hourly,$1.139 hourly,$0.6374 hourly,$3.28 hourly,$2.611 hourly
M5 General Purpose Large,m5d.large,"28,933.79",General purpose,10.0 fps,8 GiB,2 vCPUs,75 GB NVMe SSD,Up to 10 Gigabit,$0.113 hourly,$0.071 hourly,$0.0609 hourly,$0.205 hourly,$0.163 hourly
M5 General Purpose Metal,m5d.metal,"1,359,869.679",General purpose,173.0 fps,384 GiB,96 vCPUs,3600 GB (4×900 GB NVMe SSD),25 Gigabit,$5.424 hourly,$3.417 hourly,$1.534 hourly,$9.84 hourly,$7.833 hourly
M5 General Purpose Extra Large,m5d.xlarge,"59,020.264",General purpose,20.0 fps,16 GiB,4 vCPUs,150 GB NVMe SSD,Up to 10 Gigabit,$0.226 hourly,$0.142 hourly,$0.1146 hourly,$0.41 hourly,$0.326 hourly
M5DN 12xlarge Extra Large,m5dn.12xlarge,,General purpose,,192 GiB,48 vCPUs,1800 GB (2×900 GB NVMe SSD),50 Gigabit,$3.264 hourly,$2.056 hourly,$1.238 hourly,$5.472 hourly,$4.264 hourly
M5DN 16xlarge Extra Large,m5dn.16xlarge,,General purpose,,256 GiB,64 vCPUs,2400 GB (4×600 GB NVMe SSD),75 Gigabit,$4.352 hourly,$2.742 hourly,$1.5392 hourly,$7.296 hourly,$5.686 hourly
M5DN 24xlarge,m5dn.24xlarge,,General purpose,,384 GiB,96 vCPUs,3600 GB (4×900 GB NVMe SSD),100 Gigabit,$6.528 hourly,$4.113 hourly,$1.8673 hourly,$10.944 hourly,$8.529 hourly
M5DN Double Extra Large,m5dn.2xlarge,,General purpose,,32 GiB,8 vCPUs,300 GB NVMe SSD,Up to 25 Gigabit,$0.544 hourly,$0.343 hourly,$0.2848 hourly,$0.912 hourly,$0.711 hourly
M5DN Quadruple Extra Large,m5dn.4xlarge,,General purpose,,64 GiB,16 vCPUs,600 GB (2×300 GB NVMe SSD),Up to 25 Gigabit,$1.088 hourly,$0.685 hourly,$0.478 hourly,$1.824 hourly,$1.421 hourly
M5DN Eight Extra Large,m5dn.8xlarge,,General purpose,,128 GiB,32 vCPUs,1200 GB (2×600 GB NVMe SSD),25 Gigabit,$2.176 hourly,$1.371 hourly,$0.9821 hourly,$3.648 hourly,$2.843 hourly
M5DN Large,m5dn.large,,General purpose,,8 GiB,2 vCPUs,75 GB NVMe SSD,Up to 25 Gigabit,$0.136 hourly,$0.086 hourly,$0.0475 hourly,$0.228 hourly,$0.178 hourly
M5DN Metal,m5dn.metal,,General purpose,,384 GiB,96 vCPUs,3600 GB (4×900 GB NVMe SSD),100 Gigabit,$6.528 hourly,$4.113 hourly,$1.8242 hourly,$10.944 hourly,$8.529 hourly
M5DN Extra Large,m5dn.xlarge,,General purpose,,16 GiB,4 vCPUs,150 GB NVMe SSD,Up to 25 Gigabit,$0.272 hourly,$0.171 hourly,$0.1168 hourly,$0.456 hourly,$0.355 hourly
M5N 12xlarge Extra Large,m5n.12xlarge,,General purpose,,192 GiB,48 vCPUs,EBS only,50 Gigabit,$2.856 hourly,$1.799 hourly,$1.069 hourly,$5.064 hourly,$4.007 hourly
M5N 16xlarge Extra Large,m5n.16xlarge,,General purpose,,256 GiB,64 vCPUs,EBS only,75 Gigabit,$3.808 hourly,$2.399 hourly,$1.3732 hourly,$6.752 hourly,$5.343 hourly
